[3/5/2022 19:11:50] [error]: create table `productos` (`id` integer not null primary key autoincrement, `title` varchar(255) not null, `price` integer not null, `thumbnail` varchar(255) not null) - SQLITE_ERROR: table `productos` already exists
[3/5/2022 19:11:50] [error]: create table `productos` (`id` integer not null primary key autoincrement, `title` varchar(255) not null, `price` integer not null, `thumbnail` varchar(255) not null) - SQLITE_ERROR: table `productos` already exists
[3/5/2022 19:11:50] [error]: create table `productos` (`id` integer not null primary key autoincrement, `title` varchar(255) not null, `price` integer not null, `thumbnail` varchar(255) not null) - SQLITE_ERROR: table `productos` already exists
[3/5/2022 19:11:50] [error]: create table `productos` (`id` integer not null primary key autoincrement, `title` varchar(255) not null, `price` integer not null, `thumbnail` varchar(255) not null) - SQLITE_ERROR: table `productos` already exists
[3/5/2022 19:11:54] [error]: create table `productos` (`id` integer not null primary key autoincrement, `title` varchar(255) not null, `price` integer not null, `thumbnail` varchar(255) not null) - SQLITE_ERROR: table `productos` already exists
[3/5/2022 19:33:19] [error]: create table `productos` (`id` integer not null primary key autoincrement, `title` varchar(255) not null, `price` integer not null, `thumbnail` varchar(255) not null) - SQLITE_ERROR: table `productos` already exists
[3/5/2022 19:33:19] [error]: create table `productos` (`id` integer not null primary key autoincrement, `title` varchar(255) not null, `price` integer not null, `thumbnail` varchar(255) not null) - SQLITE_ERROR: table `productos` already exists
[3/5/2022 19:33:19] [error]: create table `productos` (`id` integer not null primary key autoincrement, `title` varchar(255) not null, `price` integer not null, `thumbnail` varchar(255) not null) - SQLITE_ERROR: table `productos` already exists
[3/5/2022 19:33:20] [error]: create table `productos` (`id` integer not null primary key autoincrement, `title` varchar(255) not null, `price` integer not null, `thumbnail` varchar(255) not null) - SQLITE_ERROR: table `productos` already exists
[3/5/2022 19:33:20] [error]: create table `productos` (`id` integer not null primary key autoincrement, `title` varchar(255) not null, `price` integer not null, `thumbnail` varchar(255) not null) - SQLITE_ERROR: table `productos` already exists
[3/5/2022 19:33:25] [error]: create table `productos` (`id` integer not null primary key autoincrement, `title` varchar(255) not null, `price` integer not null, `thumbnail` varchar(255) not null) - SQLITE_ERROR: table `productos` already exists
